what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1364541812667
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1364541812797
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1364541812828
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1364541812886
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1364541813003
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1364541813004
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1364541813110
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1364541813241
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1364541813390
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1364541814157
stopped,bundle,org.eclipse.cdt.debug.edc.linux.x86,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.linux.x86",1364541814228
stopped,bundle,org.eclipse.cdt.debug.edc.windows.ui,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.windows.ui",1364541814378
stopped,bundle,org.eclipse.cdt.debug.edc.windows,2.0.0.201202112006,"org.eclipse.cdt.debug.edc.windows",1364541814502
stopped,bundle,org.eclipse.cdt.debug.edc.ui,2.0.0.201202112006,"org.eclipse.cdt.debug.edc.ui",1364541814570
stopped,bundle,org.eclipse.cdt.debug.edc.x86,1.0.0.201202112006,"org.eclipse.cdt.debug.edc.x86",1364541814643
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1364674151875
